,species-name,dataset-tag,r_0,r_1,s_1,damping,R_0,T_c,V,G,d,r_0a,r_0b,r_1a,s_1a
0,Spermophilus columbianus,Zammuto 87 1300m,0.00016648179923242287,-1.8366889853392523,0.5660246694937506,0.1593176187462286,1.000737,2.420377182016854,1.526214964000408,0.5396049939943279,0.508489374030466,0.00030438584297464284,0.00030444426566553836,-0.4429630748881238,2.5957038300496103
1,Spermophilus columbianus,Zammuto 87 1360m,-0.00020634388611649648,-2.0699483486936696,0.29287173457279564,0.12621834122999365,0.9996970000000001,2.431442727146325,0.9726542887185459,0.7804957645834608,0.6536691299601434,-0.00012463625418412808,-0.0001246300400125774,-0.4373133180368611,2.5842031449048815
2,Spermophilus columbianus,Zammuto 87 1500m,0.0014566115981759023,-1.272936156255431,0.648749217052997,0.2796006992158517,1.0067499999999998,3.8013349888254293,1.8187452751676374,0.4288276211663896,0.8121759215904724,0.0017697258382126898,0.0017712243070596109,-0.112929010688578,1.652189366267511
3,Spermophilus columbianus,Zammuto 87 1675m,-0.02512781445960477,-2.803371875146065,0.6295444393601601,0.06214753892979525,1.01028,2.9069762838025106,1.1900756534344537,0.2166405427033276,0.7375733675981136,0.0035182674906648,0.003523334956071233,-0.28090122966115744,2.159859512008746
4,Spermophilus columbianus,Zammuto 87 2000m,-0.0012451605850646464,-2.0652452126576195,0.7162749183771514,0.12694516567849076,0.9948730000000001,3.178657979460694,0.9986229130901101,0.37728642884607405,0.8225331827080569,-0.0016170938157423738,-0.001616272276792927,-0.1968810216067764,1.9771807423993575
5,Spermophilus columbianus,Zammuto 87 2200m,-0.003239700789741891,-1.5068423372693969,0.7284388896281808,0.22232774955847237,0.9860939999999999,3.4137536583733397,1.1856765251423067,0.1389391807549036,0.8292264875207537,-0.004102110356913809,-0.004096265838618065,-0.16117650015728474,1.841861466451535
6,Spermophilus lateralis,Bronson 1979 2730m,-0.009031958869049275,-1.1341550193224446,0.6718418868609519,0.3246125179366681,0.9623999999999999,3.3807044887780555,2.2432498777603995,-0.021483271637840088,0.6943465499045246,-0.01133642838316238,-0.011251153145195003,-0.1716460730071168,1.865533386646378
7,Spermophilus lateralis,Bronson 1979 1980m,-0.0007861849905967039,-2.0651590340436288,0.4120618157253924,0.1268978497242101,0.9982300000000001,1.8339661200324573,1.0945789494747498,1.2011387440330092,0.3279336594623825,-0.0009659765693146123,-0.0009654196542472462,-1.0193915120220634,3.426997076379366
8,Spermophilus lateralis,Bronson 1979 1840m,-0.012829629424283335,-1.2877568900445835,0.48973459427245464,0.27945129459595963,0.960961,2.054895047769889,1.8566395269319391,1.1611581426108943,0.26068799226353695,-0.019378825991570422,-0.019039518949842203,-0.7369502781537012,3.0844358571694284
9,Spermophilus lateralis,Bronson 1979 1460m,0.00012860971543758742,-1.3781182084397428,0.3712160295470175,0.25202000286935095,1.0009899999999998,1.883505329723574,1.272545736220208,1.5930664051749084,0.3022169261077615,0.0005253557064996931,0.000525542178424908,-0.9401992598700161,3.3353079060435387
10,Theropithecus gelada,Dunbar 1980,-0.054838964784492523,-0.5784446034346671,0.44233517348038665,0.5923807816344034,0.6690030884999999,6.205249962758581,4.391700571056447,0.9193476986111121,0.8909317637071614,-0.06477847059910223,-0.06180861849907491,-0.08113571168653057,1.035770628394517
11,Yellow-bellied marmot,Schwartz et al. 1998,-0.0706941197759067,-0.6823588625998795,0.45742309569435896,0.542447082109468,0.673197,4.502485899372695,4.319854500016191,0.7359639963561669,0.7427718066991144,-0.08788862016392639,-0.08047753079708535,-0.13953125437450714,1.4543290122877415
12,Spermophilus armatus,Slade & Balph 1974,-0.016191749267331367,-0.8388634825461071,0.5174677105422232,0.4392565091341591,0.9274800000000001,1.6156574804847543,1.0357753504856175,1.1643946873972872,0.2137149054742231,-0.0465965397893427,-0.045204589867542,-1.5060055094012463,3.9470198722691596
13,Tursiops truncatus,Stolen & Barlow 2003,0.0006021007567107438,-0.1849420618439068,0.23216530669550317,0.8306521510116883,1.0117899999999997,14.272062384486903,33.39204715150605,0.8199194489011509,0.9303717910621611,0.0008212575824666016,0.0008228356118811932,-0.0015592221792743847,0.4398207233780559
14,Papio cynocephalus,Storz et al. 2002,0.038808163645561444,-0.23845726258574293,0.33124883352080775,0.7578533162627352,1.5103443224,10.96240305037876,18.468019899680264,0.5774378706078036,0.9156865788746312,0.03761380155581905,0.039997267912983955,0.034038776557062576,0.5549980780772041
15,Helogale parvula,Waser et al. 1995,0.007732297816191253,-0.5760227878937964,0.48895752396569864,0.557799842744355,1.0586699999999998,5.878725192930753,5.724125107465386,0.46290587884351153,0.8377571652579251,0.00969825964904627,0.009789842376336592,-0.023194174980794423,1.0637541941077555
16,Callorhinus ursinus,Barlow & Boveng 1991,0.00024748509838927116,-0.2753022178848719,0.3854182083929225,0.7591546989030384,1.00257461,9.387482383979382,12.558053652956254,0.3187487281373586,0.9090279416271068,0.0002739074508199218,0.00027400781549693397,-0.007347596834624336,0.6691926454267682
17,Phacochoerus aethiopicus,Rodgers 1984,0.014107703273255752,-0.4607216367619709,0.4168939062449218,0.6219911964035109,0.80393,4.98787705397236,7.4220216309479845,0.8192396966729305,0.6867408032876428,-0.043754702834210214,-0.04090594224220076,-0.036525178767219654,1.3006989892446685
18,Red deer,Benton et al. 1995,0.0632612086977064,-0.3040239017317985,0.42928966781864025,0.6926121459447924,1.021123512,8.373333248642306,11.617375215851974,0.30225813231245013,0.8830841204702558,0.00249643754067932,0.0025050842537926647,0.05255872092100352,0.7490809018479648
